zona,campania,clase,lon,lat,fila,col,bloque,set
pergamino,2024-25,0,-60.700556,-33.885036,1280,899,600004,entrenamiento
pergamino,2024-25,0,-60.676302,-33.679682,518,989,200004,entrenamiento
pergamino,2024-25,0,-60.563383,-33.933545,1460,1408,700007,entrenamiento
pergamino,2024-25,0,-60.593567,-33.731155,709,1296,300006,entrenamiento
pergamino,2024-25,0,-60.744753,-33.935432,1467,735,700003,entrenamiento
pergamino,2024-25,0,-60.30386,-33.818202,1032,2371,500011,entrenamiento
pergamino,2024-25,0,-60.789489,-33.854584,1167,569,500002,entrenamiento
pergamino,2024-25,0,-60.608928,-33.912794,1383,1239,600006,entrenamiento
pergamino,2024-25,0,-60.718882,-33.615542,280,831,100004,entrenamiento
pergamino,2024-25,0,-60.481457,-33.695851,578,1712,200008,entrenamiento
pergamino,2024-25,0,-60.726967,-33.644647,388,801,100004,entrenamiento
pergamino,2024-25,0,-60.560149,-33.661086,449,1420,200007,entrenamiento
pergamino,2024-25,0,-60.436182,-33.838953,1109,1880,500009,entrenamiento
pergamino,2024-25,0,-60.711605,-33.79233,936,858,400004,entrenamiento
pergamino,2024-25,0,-60.244302,-33.827095,1065,2592,500012,entrenamiento
pergamino,2024-25,0,-60.563383,-33.87237,1233,1408,600007,entrenamiento
pergamino,2024-25,0,-60.85309,-33.549516,35,333,1,entrenamiento
pergamino,2024-25,0,-60.521612,-33.875874,1246,1563,600007,entrenamiento
pergamino,2024-25,0,-60.595723,-33.863477,1200,1288,600006,entrenamiento
pergamino,2024-25,0,-60.81563,-33.588323,179,472,2,entrenamiento
pergamino,2024-25,0,-60.785716,-33.84596,1135,583,500002,entrenamiento
pergamino,2024-25,0,-60.517839,-34.033797,1832,1577,900007,entrenamiento
pergamino,2024-25,0,-60.713492,-33.911177,1377,851,600004,entrenamiento
pergamino,2024-25,0,-60.356142,-33.867789,1216,2177,600010,entrenamiento
pergamino,2024-25,0,-60.785447,-33.93112,1451,584,700002,entrenamiento
pergamino,2024-25,0,-60.451813,-33.99526,1689,1822,800009,entrenamiento
pergamino,2024-25,0,-60.246727,-33.730886,708,2583,300012,entrenamiento
pergamino,2024-25,0,-60.242685,-33.692887,567,2598,200012,entrenamiento
pergamino,2024-25,0,-60.468252,-33.94163,1490,1761,700008,entrenamiento
