zona,campania,clase,lon,lat,fila,col,bloque,set
rio-cuarto,2024-25,0,-64.564031,-34.084732,6612,2148,3300010,entrenamiento
rio-cuarto,2024-25,0,-65.071758,-33.149855,3143,264,1500001,entrenamiento
rio-cuarto,2024-25,0,-64.385086,-34.14456,6834,2812,3400014,entrenamiento
rio-cuarto,2024-25,0,-64.412036,-33.0779,2876,2712,1400013,entrenamiento
rio-cuarto,2024-25,0,-64.742975,-32.90758,2244,1484,1100007,entrenamiento
rio-cuarto,2024-25,0,-64.256268,-32.427071,461,3290,200016,entrenamiento
rio-cuarto,2024-25,0,-64.460814,-33.315325,3757,2531,1800012,entrenamiento
rio-cuarto,2024-25,0,-64.274863,-33.112665,3005,3221,1500016,entrenamiento
rio-cuarto,2024-25,0,-64.403951,-33.065503,2830,2742,1400013,entrenamiento
rio-cuarto,2024-25,0,-63.962788,-33.249568,3513,4379,1700021,entrenamiento
rio-cuarto,2024-25,0,-64.828944,-33.787479,5509,1165,2700005,entrenamiento
rio-cuarto,2024-25,0,-64.924614,-32.890601,2181,810,1000004,entrenamiento
rio-cuarto,2024-25,0,-64.901977,-33.015108,2643,894,1300004,entrenamiento
rio-cuarto,2024-25,0,-63.890294,-33.457618,4285,4648,2100023,entrenamiento
rio-cuarto,2024-25,0,-64.309089,-32.607093,1129,3094,500015,entrenamiento
rio-cuarto,2024-25,0,-64.978244,-33.178422,3249,611,1600003,entrenamiento
rio-cuarto,2024-25,0,-64.821128,-32.883864,2156,1194,1000005,entrenamiento
rio-cuarto,2024-25,0,-64.163292,-34.168006,6921,3635,3400018,entrenamiento
rio-cuarto,2024-25,0,-64.447339,-33.762147,5415,2581,2700012,entrenamiento
rio-cuarto,2024-25,0,-63.940959,-33.404528,4088,4460,2000022,entrenamiento
rio-cuarto,2024-25,0,-64.870446,-34.028408,6403,1011,3200005,entrenamiento
rio-cuarto,2024-25,0,-64.465665,-33.803919,5570,2513,2700012,entrenamiento
rio-cuarto,2024-25,0,-64.243871,-33.028313,2692,3336,1300016,entrenamiento
rio-cuarto,2024-25,0,-64.247913,-33.62201,4895,3321,2400016,entrenamiento
rio-cuarto,2024-25,0,-64.920033,-32.76313,1708,827,800004,entrenamiento
rio-cuarto,2024-25,0,-64.269203,-33.948368,6106,3242,3000016,entrenamiento
rio-cuarto,2024-25,0,-64.970159,-32.961478,2444,641,1200003,entrenamiento
rio-cuarto,2024-25,0,-64.99091,-33.128026,3062,564,1500002,entrenamiento
rio-cuarto,2024-25,0,-64.908445,-32.639432,1249,870,600004,entrenamiento
rio-cuarto,2024-25,0,-64.384817,-32.613561,1153,2813,500014,entrenamiento
rio-cuarto,2024-25,0,-64.830291,-32.648326,1282,1160,600005,entrenamiento
rio-cuarto,2024-25,0,-64.469707,-34.205735,7061,2498,3500012,entrenamiento
rio-cuarto,2024-25,0,-65.114069,-33.423392,4158,107,2000000,entrenamiento
rio-cuarto,2024-25,0,-64.18054,-33.761608,5413,3571,2700017,entrenamiento
rio-cuarto,2024-25,0,-65.097091,-33.464086,4309,170,2100000,entrenamiento
rio-cuarto,2024-25,0,-65.034029,-33.682107,5118,404,2500002,entrenamiento
rio-cuarto,2024-25,0,-64.850234,-32.924827,2308,1086,1100005,entrenamiento
rio-cuarto,2024-25,0,-64.277558,-32.425454,455,3211,200016,entrenamiento
rio-cuarto,2024-25,0,-64.910062,-32.9445,2381,864,1100004,entrenamiento
